Relation_Name,ModelID,Num_ModelID,ObjectID,NumOID,ImportID,Source_Entity_Name,Target_Entity_Name,Source_Label,Target_Label,SourceTo_Target_Cardinality,TargetTo_Source_Cardinality,Source_Optional,Target_Optional,Dominant_Role,Identifying,Source_ID,Num_Source_ID,Target_ID,Num_Target_ID,Number_Of_Attributes
"Category-hasMany-Todos",BAD482EB-1C3D-AF2B-CAD9-B53C836BC18B,101,4A172F6D-E5B0-8277-D502-E9B23C7D2EB2,130,,"Category","Todo",,,"*","1",Y,N,"None",N,200B7B82-C4A8-CC82-439E-14ACCEC1B411,102,C30E57EE-E986-D2B9-F900-C96ACCFE4E8E,103,1,
"User-hasMany-Todos",BAD482EB-1C3D-AF2B-CAD9-B53C836BC18B,101,C1FD90DA-D894-6C97-5D2F-A7C4D0310BDF,131,,"User","Todo",,,"*","1",Y,N,"None",N,EDBADE89-F192-7DA8-F7C4-B635D59164F9,104,C30E57EE-E986-D2B9-F900-C96ACCFE4E8E,103,1,
"User-hasMany-UserLogins",BAD482EB-1C3D-AF2B-CAD9-B53C836BC18B,101,4586EC74-BD4F-659C-1A4F-CBAE4A0D9487,132,,"User","UserLogin",,,"*","1",Y,N,"None",N,EDBADE89-F192-7DA8-F7C4-B635D59164F9,104,80A6262D-BDB8-B88A-41BF-A96A998FAD1C,105,1,
