ObjectID,NumOID,Type,Sequence,Text
1775B27B-BB6B-C0E8-BD2F-850C839F25F0,109,Attribute,1,"This is the unique identifier, obviously",
D241EA82-31E1-65BF-8C74-369DC8F32530,123,Attribute,1,"primary key",
